Date;Open;High;Low;Close;Adj Close;Volume
03/09/2018;11.345900;11.409200;11.110300;11.261100;11.261100;18644300
04/09/2018;11.310400;11.423200;11.262400;11.359200;11.359200;18878700
05/09/2018;11.409800;11.536500;10.086600;10.086600;10.086600;29308300
06/09/2018;10.053500;10.301600;9.621910;10.284200;10.284200;23466000
07/09/2018;10.264800;10.269700;9.869440;10.037300;10.037300;16640400
08/09/2018;10.032800;10.194300;9.413700;9.520080;9.520080;15053100
09/09/2018;9.548720;9.727370;9.272430;9.512630;9.512630;13947300
10/09/2018;9.576010;9.708060;9.373060;9.524870;9.524870;12427900
11/09/2018;9.521990;9.605420;9.227330;9.373960;9.373960;18572100
12/09/2018;9.385550;9.480190;9.037310;9.214430;9.214430;21323500
13/09/2018;9.224550;9.694040;9.217650;9.604060;9.604060;24817100
14/09/2018;9.636820;10.086000;9.546330;9.930050;9.930050;26124800
15/09/2018;9.904640;10.196000;9.904640;10.110300;10.110300;27281100
16/09/2018;10.116400;10.127400;9.776380;9.936020;9.936020;20623100
17/09/2018;9.949730;10.011800;9.316640;9.405260;9.405260;22370800
18/09/2018;9.390570;9.635030;9.276570;9.544060;9.544060;23016100
19/09/2018;9.556710;9.776050;9.314970;9.619090;9.619090;22684800
20/09/2018;9.633700;10.097600;9.602490;10.074500;10.074500;27983700
21/09/2018;10.060400;10.435400;9.962790;10.410800;10.410800;35228200
22/09/2018;10.419600;10.528100;9.966420;10.245000;10.245000;21731800
23/09/2018;10.272900;10.365600;10.157500;10.280600;10.280600;22673000
24/09/2018;10.291400;10.317400;9.939120;10.035900;10.035900;19223700
25/09/2018;10.034200;10.034200;9.506210;9.783160;9.783160;19256100
26/09/2018;9.781010;9.903300;9.588770;9.736630;9.736630;18370400
27/09/2018;9.736240;10.076900;9.672260;10.031200;10.031200;26966900
28/09/2018;10.042900;10.227200;9.891320;9.969340;9.969340;25097900
29/09/2018;9.956690;10.032400;9.757080;9.999140;9.999140;26072400
30/09/2018;10.003400;10.035600;9.853360;10.017800;10.017800;26954000
01/10/2018;10.009700;10.050000;9.881550;9.943660;9.943660;25138500
02/10/2018;9.936140;10.606900;9.880160;10.356800;10.356800;41386000
03/10/2018;10.328600;10.444000;10.064400;10.271200;10.271200;38371900
04/10/2018;10.286600;10.393600;10.221400;10.255600;10.255600;32534900
05/10/2018;10.251300;10.715100;10.239900;10.636200;10.636200;40756200
06/10/2018;10.645100;10.745700;10.298800;10.372100;10.372100;30941000
07/10/2018;10.399200;10.531700;10.296600;10.519000;10.519000;32205000
08/10/2018;10.532100;10.632100;10.458900;10.506600;10.506600;31932700
09/10/2018;10.535900;10.573500;10.227000;10.384900;10.384900;27881100
10/10/2018;10.359000;10.401200;10.205900;10.328000;10.328000;26141100
11/10/2018;10.309700;10.309700;9.253620;9.301320;9.301320;26084400
12/10/2018;9.280740;9.661810;9.236510;9.528940;9.528940;26099400
13/10/2018;9.492060;9.627080;9.477790;9.540360;9.540360;24253100
14/10/2018;9.546360;9.641600;9.465800;9.496740;9.496740;22974000
15/10/2018;9.481230;10.441500;9.418090;10.316100;10.316100;52331400
16/10/2018;10.321300;10.326700;9.916390;10.010900;10.010900;30719200
17/10/2018;10.025600;10.028100;9.818820;9.904470;9.904470;35325400
18/10/2018;9.925040;9.959050;9.637450;9.716580;9.716580;29790800
19/10/2018;9.717670;9.790140;9.631440;9.766750;9.766750;24658400
20/10/2018;9.757280;9.789680;9.681270;9.754630;9.754630;23972200
21/10/2018;9.757730;9.867430;9.684410;9.743300;9.743300;25790200
22/10/2018;9.721410;9.843270;9.650990;9.726850;9.726850;27599800
23/10/2018;9.702760;9.862360;9.676030;9.803080;9.803080;30852200
24/10/2018;9.782310;9.821270;9.712240;9.745320;9.745320;26652600
25/10/2018;9.733690;9.752160;9.643980;9.692280;9.692280;25207400
26/10/2018;9.675560;9.731870;9.621160;9.702680;9.702680;24495800
27/10/2018;9.701570;9.733240;9.634510;9.654450;9.654450;22943000
28/10/2018;9.674390;9.714150;9.594490;9.666790;9.666790;24760500
29/10/2018;9.639890;9.681440;9.344340;9.402620;9.402620;24583200
30/10/2018;9.404620;9.468880;9.352190;9.387040;9.387040;24305700
31/10/2018;9.400720;9.418920;9.307690;9.364960;9.364960;21398200
01/11/2018;9.371310;9.625460;9.340200;9.549220;9.549220;19690100
02/11/2018;9.530710;9.606400;9.476720;9.573080;9.573080;21304800
03/11/2018;9.585240;9.628140;9.490370;9.530210;9.530210;19663500
04/11/2018;9.531920;9.735990;9.492540;9.627540;9.627540;24079700
05/11/2018;9.589280;9.766670;9.579420;9.672510;9.672510;21103300
06/11/2018;9.708670;9.781790;9.616370;9.780810;9.780810;24810200
07/11/2018;9.802220;9.883880;9.773010;9.816930;9.816930;23433700
08/11/2018;9.812230;9.834480;9.616660;9.650950;9.650950;21877100
09/11/2018;9.641300;9.666880;9.488490;9.554200;9.554200;18859800
10/11/2018;9.546900;9.636800;9.512860;9.557520;9.557520;18550600
11/11/2018;9.566400;9.579670;9.352490;9.466000;9.466000;18889600
12/11/2018;9.485970;9.518170;9.274370;9.361220;9.361220;19452700
13/11/2018;9.370840;9.468360;9.185250;9.248410;9.248410;17068400
14/11/2018;9.219170;9.227470;8.140160;8.407010;8.407010;19518100
15/11/2018;8.414630;8.460820;7.745790;8.184860;8.184860;19131700
